name,gender,medal_type,discipline,age
TUNJUNG Gregoria Mariska,Female,Bronze Medal,Badminton,25
ALCANTARA REYES Yunior,Male,Bronze Medal,Boxing,20
de PINA David,Male,Bronze Medal,Boxing,28
SANFORD Wyatt,Male,Bronze Medal,Boxing,26
GURULI Lasha,Male,Bronze Medal,Boxing,28
PINALES Cristian Javier,Male,Bronze Medal,Boxing,24
LOPEZ CARDONA Arlen,Male,Bronze Medal,Boxing,31
REYES PLA Enmanuel,Male,Bronze Medal,Boxing,32
BOLTAEV Davlat,Male,Bronze Medal,Boxing,25
PANG Cholmi,Female,Bronze Medal,Boxing,30
IM Aeji,Female,Bronze Medal,Boxing,25
FAULKNER Kristen,Female,Gold Medal,Cycling Road,32
VOS Marianne,Female,Silver Medal,Cycling Road,37
KOPECKY Lotte,Female,Bronze Medal,Cycling Road,29
von BREDOW-WERNDL Jessica,Female,Gold Medal,Equestrian,38
WERTH Isabell,Female,Silver Medal,Equestrian,55
FRY Charlotte,Female,Bronze Medal,Equestrian,28
SCHEFFLER Scottie,Male,Gold Medal,Golf,28
FLEETWOOD Tommy,Male,Silver Medal,Golf,33
MATSUYAMA Hideki,Male,Bronze Medal,Golf,32
CROVETTO CHADID Francisca,Female,Gold Medal,Shooting,34
RUTTER Amber Jo,Female,Silver Medal,Shooting,27
SMITH Austen Jewell,Female,Bronze Medal,Shooting,23
FINKE Bobby,Male,Gold Medal,Swimming,25
PALTRINIERI Gregorio,Male,Silver Medal,Swimming,30
WIFFEN Daniel,Male,Bronze Medal,Swimming,23
SJOESTROEM Sarah,Female,Gold Medal,Swimming,31
HARRIS Meg,Female,Silver Medal,Swimming,22
ZHANG Yufei,Female,Bronze Medal,Swimming,26
FAN Zhendong,Male,Gold Medal,Table Tennis,27
MOREGARD Truls,Male,Silver Medal,Table Tennis,22
LEBRUN Felix,Male,Bronze Medal,Table Tennis,18
DJOKOVIC Novak,Male,Gold Medal,Tennis,37
ALCARAZ Carlos,Male,Silver Medal,Tennis,21
OKA Shinnosuke,Male,Gold Medal,Artistic Gymnastics,21
BARAJAS Angel,Male,Silver Medal,Artistic Gymnastics,18
ZHANG Boheng,Male,Bronze Medal,Artistic Gymnastics,24
TANG Chia-Hung,Male,Bronze Medal,Artistic Gymnastics,28
ZOU Jingyuan,Male,Gold Medal,Artistic Gymnastics,26
KOVTUN Illia,Male,Silver Medal,Artistic Gymnastics,21
OKA Shinnosuke,Male,Bronze Medal,Artistic Gymnastics,21
D'AMATO Alice,Female,Gold Medal,Artistic Gymnastics,21
ZHOU Yaqin,Female,Silver Medal,Artistic Gymnastics,19
ESPOSITO Manila,Female,Bronze Medal,Artistic Gymnastics,18
ANDRADE Rebeca,Female,Gold Medal,Artistic Gymnastics,25
BILES Simone,Female,Silver Medal,Artistic Gymnastics,27
BARBOSU Ana,Female,Bronze Medal,Artistic Gymnastics,18
DUPLANTIS Armand,Male,Gold Medal,Athletics,25
KENDRICKS Sam,Male,Silver Medal,Athletics,32
KARALIS Emmanouil,Male,Bronze Medal,Athletics,25
CHEBET Beatrice,Female,Gold Medal,Athletics,24
KIPYEGON Faith,Female,Silver Medal,Athletics,30
HASSAN Sifan,Female,Bronze Medal,Athletics,31
HODGKINSON Keely,Female,Gold Medal,Athletics,22
DUGUMA Tsige,Female,Silver Medal,Athletics,23
MORAA Mary,Female,Bronze Medal,Athletics,24
ALLMAN Valarie,Female,Gold Medal,Athletics,29
FENG Bin,Female,Silver Medal,Athletics,30
ELKASEVIC Sandra,Female,Bronze Medal,Athletics,34
AXELSEN Viktor,Male,Gold Medal,Badminton,30
VITIDSARN Kunlavut,Male,Silver Medal,Badminton,23
LEE Zii Jia,Male,Bronze Medal,Badminton,26
AN Se Young,Female,Gold Medal,Badminton,22
HE Bing Jiao,Female,Silver Medal,Badminton,27
BUTCHER Finn,Male,Gold Medal,Canoe Slalom,29
CLARKE Joseph,Male,Silver Medal,Canoe Slalom,32
HEGGE Noah,Male,Bronze Medal,Canoe Slalom,25
FOX Noemie,Female,Gold Medal,Canoe Slalom,27
HUG Angele,Female,Silver Medal,Canoe Slalom,24
WOODS Kimberley,Female,Bronze Medal,Canoe Slalom,29
LI Yuehong,Male,Gold Medal,Shooting,35
CHO Yeongjae,Male,Silver Medal,Shooting,25
WANG Xinjie,Male,Bronze Medal,Shooting,28
VAAST Kauli,Male,Gold Medal,Surfing,22
ROBINSON Jack,Male,Silver Medal,Surfing,27
MEDINA Gabriel,Male,Bronze Medal,Surfing,31
MARKS Caroline,Female,Gold Medal,Surfing,22
WESTON-WEBB Tatiana,Female,Silver Medal,Surfing,28
DEFAY Johanne,Female,Bronze Medal,Surfing,31
HOCKER Cole,Male,Gold Medal,Athletics,23
KERR Josh,Male,Silver Medal,Athletics,27
NUGUSE Yared,Male,Bronze Medal,Athletics,25
TENTOGLOU Miltiadis,Male,Gold Medal,Athletics,26
PINNOCK Wayne,Male,Silver Medal,Athletics,24
FURLANI Mattia,Male,Bronze Medal,Athletics,19
THOMAS Gabrielle,Female,Gold Medal,Athletics,28
ALFRED Julien,Female,Silver Medal,Athletics,23
BROWN Brittany,Female,Bronze Medal,Athletics,29
YAVI Winfred,Female,Gold Medal,Athletics,25
CHEMUTAI Peruth,Female,Silver Medal,Athletics,25
CHEROTICH Faith,Female,Bronze Medal,Athletics,20
ROGERS Camryn,Female,Gold Medal,Athletics,25
ECHIKUNWOKE Annette Nneka,Female,Silver Medal,Athletics,28
ZHAO Jie,Female,Bronze Medal,Athletics,22
JONES Omari,Male,Bronze Medal,Boxing,22
RICHARDSON Lewis,Male,Bronze Medal,Boxing,27
KYZAIBAY Nazym,Female,Bronze Medal,Boxing,31
VILLEGAS Aira,Female,Bronze Medal,Boxing,29
HARRINGTON Kellie,Female,Gold Medal,Boxing,35
YANG Wenlu,Female,Silver Medal,Boxing,33
SUWANNAPHENG Janjaem,Female,Bronze Medal,Boxing,24
CHEN Nien Chin,Female,Bronze Medal,Boxing,27
QUAN Hongchan,Female,Gold Medal,Diving,17
CHEN Yuxi,Female,Silver Medal,Diving,19
KIM Mi Rae,Female,Bronze Medal,Diving,23
KUKUK Christian,Male,Gold Medal,Equestrian,34
GUERDAT Steve,Male,Silver Medal,Equestrian,42
van der VLEUTEN Maikel,Male,Bronze Medal,Equestrian,36
TREW Arisa,Female,Gold Medal,Skateboarding,14
HIRAKI Cocona,Female,Silver Medal,Skateboarding,16
BROWN Sky,Female,Bronze Medal,Skateboarding,16
LOPEZ NUNEZ Mijain,Male,Gold Medal,Wrestling,42
ACOSTA FERNANDEZ Yasmani,Male,Silver Medal,Wrestling,36
MIRZAZADEH Amin,Male,Bronze Medal,Wrestling,26
MENG Lingzhe,Male,Bronze Medal,Wrestling,26
FUMITA Kenichiro,Male,Gold Medal,Wrestling,29
CAO Liguo,Male,Silver Medal,Wrestling,26
SHARSHENBEKOV Zholaman,Male,Bronze Medal,Wrestling,25
RI Se Ung,Male,Bronze Medal,Wrestling,26
ELOR Amit,Female,Gold Medal,Wrestling,20
ZHUMANAZAROVA Meerim,Female,Silver Medal,Wrestling,25
CAVUSOGLU TOSUN Buse,Female,Bronze Medal,Wrestling,29
OZAKI Nonoka,Female,Bronze Medal,Wrestling,21
EL BAKKALI Soufiane,Male,Gold Medal,Athletics,28
ROOKS Kenneth,Male,Silver Medal,Athletics,25
KIBIWOT Abraham,Male,Bronze Medal,Athletics,28
HALL Quincy,Male,Gold Medal,Athletics,26
HUDSON-SMITH Matthew,Male,Silver Medal,Athletics,30
